markId,description,number,subjectId,studentId,teacherId,date
617,Good,5,35,30,131,2,1967-09-08
618,Poor,2,25,17,130,187,1973-06-18
619,Fair,3,32,10,1,62,2004-07-15
620,Poor,2,46,33,89,222,1984-11-13
621,Average,3,94,12,40,266,1961-01-18
622,Poor,2,23,44,176,204,1957-09-17
623,Poor,2,75,45,51,181,1983-07-18
624,Good,5,30,38,306,309,1960-01-07
625,Poor,2,88,12,45,109,2001-02-07
626,Good,4,58,37,300,218,1989-01-28
627,Average,3,92,34,48,142,1955-05-05
628,Fair,3,15,38,85,122,1960-10-08
629,Fair,3,20,45,207,243,2000-12-03
630,Average,3,51,39,263,298,1983-10-15
631,Poor,2,16,32,87,1,1984-01-30
632,Average,3,77,28,68,43,1994-08-31
633,Good,5,25,29,149,154,1975-09-02
634,Poor,2,78,44,176,204,1972-09-08
635,Poor,2,50,30,148,88,1989-11-14
636,Fair,3,24,41,13,95,1989-04-28
637,Average,4,08,14,122,126,1972-03-06
638,Average,4,02,41,235,251,1978-08-18
639,Poor,2,64,30,158,165,1999-04-13
640,Excellent,5,81,25,88,178,1987-04-29
641,Good,4,58,16,269,206,2005-09-04
642,Average,3,95,22,24,3,1982-11-09
643,Average,3,66,21,3,58,1967-10-06
644,Poor,2,29,11,138,79,1966-11-05
645,Good,5,30,24,171,80,2000-05-11
646,Average,3,68,17,133,215,1972-07-08
647,Good,5,21,8,100,31,1985-05-30
648,Excellent,5,57,32,69,320,1956-04-08
649,Good,4,86,36,274,152,1982-09-08
650,Average,4,42,23,265,91,2004-10-09
651,Good,5,32,7,108,169,1978-01-05
652,Fair,3,05,40,189,6,1986-08-23
653,Poor,2,42,9,44,255,1979-06-18
654,Average,3,69,27,93,136,1991-10-10
655,Poor,2,94,47,290,114,1984-02-01
656,Average,4,16,15,224,252,2007-05-08
657,Good,4,83,8,304,329,1965-10-20
658,Average,4,41,37,74,14,1987-12-11
659,Average,4,41,37,300,218,1998-03-20
660,Average,3,64,47,278,141,1965-07-17
661,Poor,2,15,37,184,171,1976-12-11
662,Poor,2,18,13,157,231,1965-08-16
663,Average,4,07,28,282,135,1981-06-13
664,Fair,3,01,17,84,96,1998-05-05
665,Fair,3,02,45,320,121,1969-09-10
666,Average,3,57,15,231,254,1981-08-04
667,Fair,3,09,20,76,245,1994-12-28
668,Good,5,44,46,258,9,1992-12-24
669,Average,3,98,13,123,191,2007-01-22
670,Excellent,5,93,19,102,64,1999-10-12
671,Poor,2,61,29,204,158,1957-07-05
672,Fair,3,32,47,72,161,1997-01-21
673,Excellent,5,62,10,233,332,1982-03-08
674,Average,3,51,26,285,78,1970-03-19
675,Average,3,89,34,261,93,1987-03-11
676,Excellent,5,99,13,123,191,1986-03-11
677,Good,4,57,40,170,4,1997-12-13
678,Poor,2,46,34,180,26,1969-09-13
679,Poor,2,00,38,94,209,1967-08-29
680,Good,5,21,43,50,281,1981-08-02
681,Good,5,37,43,105,151,1956-08-31
682,Average,4,35,17,275,237,2007-01-26
683,Average,4,29,17,287,302,1986-01-31
684,Good,4,79,11,145,143,2004-02-25
685,Average,4,19,40,23,208,1958-10-11
686,Good,5,11,41,214,176,2005-06-09
687,Fair,3,34,41,214,176,1968-03-16
688,Average,3,55,10,253,184,1991-11-24
689,Excellent,5,84,23,8,104,1996-08-08
690,Average,4,34,43,284,260,1990-07-10
691,Average,4,42,32,117,89,1976-07-09
692,Excellent,5,67,11,145,143,1992-03-27
693,Excellent,5,62,31,160,304,1988-05-30
694,Good,5,01,29,67,148,1986-09-28
695,Excellent,5,66,37,300,218,1963-05-20
696,Average,4,39,40,128,301,1993-01-20
697,Excellent,5,89,37,175,92,1954-05-29
698,Poor,2,65,12,45,109,1977-06-02
699,Good,5,28,8,304,329,2005-02-25
700,Average,3,73,39,183,288,1971-10-08
701,Poor,2,59,41,103,239,1985-07-11
702,Excellent,5,77,14,173,87,2000-06-06
703,Average,3,58,32,169,207,1957-03-18
704,Good,4,94,28,282,135,1990-11-27
705,Average,3,80,28,166,139,2000-04-06
706,Average,4,00,39,263,298,1988-12-14
707,Fair,3,44,10,253,184,1957-06-17
708,Good,4,92,25,257,327,1962-04-01
709,Excellent,5,81,33,247,113,1957-08-01
710,Poor,2,95,47,168,314,2005-11-22
711,Excellent,5,60,45,320,121,1962-05-26
712,Average,4,37,18,248,32,2004-02-07
713,Average,4,41,36,274,152,1973-04-14
714,Good,5,21,8,107,55,1969-08-18
715,Average,4,27,14,14,310,1961-11-16
716,Average,3,80,11,138,79,1977-11-15
717,Average,3,89,38,19,313,1987-07-17
718,Good,5,29,16,120,290,1985-04-19
719,Good,4,82,33,46,145,1992-07-26
720,Average,3,91,42,199,71,1972-04-02
721,Poor,2,22,10,1,62,1966-05-22
722,Excellent,5,54,47,286,40,1956-02-05
723,Excellent,5,61,31,163,17,2004-05-17
724,Excellent,5,64,12,127,19,1969-07-15
725,Average,3,51,14,173,87,1976-04-05
726,Poor,2,94,7,92,182,1973-04-10
727,Average,3,71,10,233,332,1961-08-24
728,Poor,2,60,29,67,148,2003-06-10
729,Average,3,85,14,307,102,1959-11-01
730,Excellent,5,50,44,104,197,2002-02-19
731,Poor,2,10,30,325,69,1984-10-13
732,Average,3,91,20,333,210,1973-07-14
733,Fair,3,19,16,53,278,1972-07-18
734,Average,4,28,40,153,328,2003-11-21
735,Good,4,62,7,33,129,2004-01-23
736,Excellent,5,60,18,83,294,1964-03-27
737,Poor,2,77,46,177,270,2002-11-11
738,Good,5,36,24,142,306,2003-03-06
739,Poor,2,98,21,227,227,1956-11-20
740,Poor,2,18,37,52,12,1977-10-27
741,Average,3,66,45,320,121,2000-12-23
742,Average,4,43,34,32,106,1958-12-16
743,Average,3,75,43,284,260,1987-04-25
744,Good,4,88,11,49,13,1998-09-17
745,Good,4,75,27,26,132,1981-02-15
746,Poor,2,05,47,72,161,1980-06-01
747,Fair,3,26,36,228,330,1971-12-15
748,Poor,2,40,46,292,15,1971-10-14
749,Poor,2,74,28,166,139,1977-11-12
750,Average,3,85,17,287,302,1993-07-05
751,Poor,2,49,19,181,98,1958-07-07
752,Poor,2,59,17,275,237,1977-02-09
753,Average,3,83,42,333,210,1992-11-06
754,Fair,3,36,14,240,144,1985-11-25
755,Average,3,50,33,134,138,1958-05-20
756,Fair,3,05,26,285,78,1982-06-07
757,Poor,2,16,11,120,290,2004-01-21
758,Average,3,94,45,143,244,1995-09-03
759,Fair,3,43,41,250,47,1967-08-24
760,Poor,2,86,12,127,19,1979-12-29
761,Poor,2,29,45,207,243,1980-04-23
762,Poor,2,83,38,267,257,1962-01-08
763,Fair,3,06,27,202,277,1955-06-02
764,Poor,2,30,45,320,121,1963-06-12
765,Poor,2,85,17,328,11,1974-02-09
766,Average,3,68,39,31,107,1996-11-12
767,Fair,3,17,29,289,296,1984-07-22
768,Poor,2,13,20,139,273,1977-05-24
769,Poor,2,59,19,277,177,1973-07-27
770,Good,4,67,22,186,90,2005-08-22
771,Fair,3,03,39,165,247,1983-01-05
772,Good,4,54,32,279,220,1992-05-12
773,Average,4,31,28,68,43,1981-05-30
774,Good,4,64,38,109,46,1967-10-01
775,Poor,2,25,28,159,112,1979-04-10
776,Average,3,80,14,280,147,1960-06-06
777,Average,3,79,9,264,137,1976-10-12
778,Poor,2,72,28,95,125,1958-08-31
779,Poor,2,89,43,302,274,1996-05-30
780,Fair,3,45,22,200,292,2003-11-05
781,Excellent,5,69,40,153,328,1954-04-28
782,Fair,3,30,16,245,168,1997-11-11
783,Excellent,5,87,14,14,310,1978-07-29
784,Poor,2,00,28,68,43,1974-04-29
785,Good,5,00,30,158,165,1996-08-15
786,Excellent,5,52,42,63,23,1960-09-04
787,Poor,2,08,13,38,35,1988-09-06
788,Excellent,5,84,12,329,60,1994-08-23
789,Poor,2,77,47,115,188,1998-07-05
790,Average,3,56,32,117,89,1974-08-19
791,Good,5,44,29,204,158,1968-03-06
792,Good,4,83,17,133,215,1960-03-10
793,Average,3,93,17,84,96,1988-07-13
794,Poor,2,11,17,95,125,1984-11-23
795,Excellent,5,90,45,79,226,2005-07-06
796,Poor,2,82,43,284,260,1991-12-17
797,Fair,3,36,26,30,65,1956-07-17
798,Fair,3,44,27,26,132,1976-11-13
799,Average,4,03,47,223,51,1977-08-09
800,Fair,3,06,14,280,147,1992-04-04
801,Good,4,88,33,247,113,2003-11-10
802,Fair,3,12,40,128,301,2002-07-23
803,Excellent,5,82,11,222,221,2006-03-19
804,Average,4,08,30,318,57,1980-03-23
805,Poor,2,81,9,294,146,1963-07-01
806,Average,3,96,20,254,25,1974-02-25
807,Average,4,28,44,251,214,2003-09-12
808,Good,5,20,30,135,21,1978-02-07
809,Fair,3,10,17,287,302,1959-08-18
810,Excellent,5,71,30,325,69,2005-12-13
811,Good,5,26,35,147,199,1958-08-26
812,Good,5,45,21,195,8,1998-05-23
813,Fair,3,05,38,19,313,2007-04-06
814,Excellent,5,98,33,164,101,1971-10-20
815,Fair,3,17,9,156,259,1978-09-02
816,Good,5,00,34,15,160,1990-06-12
817,Poor,2,97,15,256,305,1991-06-12
818,Fair,3,06,8,237,246,1989-02-02
819,Fair,3,31,14,12,212,1974-10-27
820,Fair,3,33,38,19,313,1966-06-07
821,Average,3,60,39,293,100,1961-03-09
822,Fair,3,34,11,49,13,1997-11-29
823,Good,5,37,10,58,70,1986-11-20
824,Good,5,03,14,280,147,2006-12-09
825,Good,5,23,32,87,1,1990-06-18
826,Average,4,21,20,305,28,1975-10-28
827,Poor,2,61,36,9,201,1956-10-30
828,Average,4,19,13,123,191,2004-07-06
829,Good,4,74,12,40,266,1970-03-27
830,Good,5,43,21,3,58,1995-04-25
831,Poor,2,43,7,11,38,1956-11-21
832,Poor,2,35,19,312,219,2007-11-29
833,Good,4,70,35,5,333,1989-01-22
834,Excellent,5,83,47,168,314,1957-02-26
835,Good,4,58,46,232,186,2007-12-26
836,Good,4,57,13,38,35,1959-10-06
837,Fair,3,49,44,27,250,1999-08-25
838,Average,3,79,26,255,74,2006-05-08
839,Good,5,19,41,235,251,1963-10-30
840,Fair,3,04,27,213,312,1975-06-22
841,Fair,3,23,20,139,273,1964-12-23
842,Poor,2,89,35,62,20,1963-07-31
843,Good,4,73,43,187,59,1988-01-07
844,Fair,3,06,28,68,43,2000-07-22
845,Average,4,31,20,254,25,1968-12-24
846,Excellent,6,00,18,83,294,1977-10-15
847,Average,3,77,46,241,211,1960-12-05
848,Average,3,95,40,153,328,1969-09-24
849,Good,4,94,39,263,298,1959-03-24
850,Poor,2,90,16,113,286,1968-01-25
851,Excellent,5,86,16,53,278,1953-07-08
852,Poor,2,30,47,286,40,1975-06-14
853,Poor,2,12,39,263,298,1955-01-19
854,Poor,2,69,16,53,278,1964-03-04
855,Good,5,47,29,288,167,1984-01-27
856,Average,3,54,13,123,191,1958-12-12
857,Average,3,76,10,233,332,1968-09-03
858,Poor,2,78,7,185,279,2007-04-11
859,Good,4,85,26,255,74,1997-10-06
860,Good,4,60,23,209,311,1995-09-04
861,Fair,3,35,47,223,51,1970-04-28
862,Poor,2,08,8,124,81,2007-03-08
863,Poor,2,45,23,32,106,1960-11-13
864,Average,3,68,37,52,12,1972-04-25
865,Good,5,28,13,157,231,2002-01-23
866,Good,4,90,13,137,224,1958-09-27
867,Poor,2,74,10,233,332,1962-05-02
868,Fair,3,23,18,303,179,2003-02-09
869,Fair,3,40,39,81,134,1971-10-26
870,Good,4,61,9,156,259,1971-11-28
871,Average,3,50,16,242,83,1998-10-19
872,Good,5,19,42,63,23,1993-02-03
873,Average,3,87,27,213,312,1978-04-07
874,Poor,2,26,19,277,177,2007-05-08
875,Poor,2,10,19,102,64,1954-06-15
876,Poor,2,71,31,310,173,2005-08-09
877,Good,4,61,41,101,225,1962-11-24
878,Average,4,30,15,121,50,1994-04-30
879,Poor,2,72,13,59,166,1990-12-16
880,Good,5,24,8,136,193,1965-09-04
881,Poor,2,44,34,48,142,1967-11-24
882,Good,4,66,20,305,28,1995-02-05
883,Good,5,26,19,312,219,1998-04-16
884,Average,3,84,14,122,126,1955-03-04
885,Excellent,5,58,41,101,225,1994-10-19
886,Poor,2,12,39,99,155,1989-06-09
887,Poor,2,22,22,246,321,2005-11-11
888,Average,4,00,17,133,215,1977-11-21
889,Poor,2,35,11,120,290,1981-01-30
890,Fair,3,03,43,119,194,2002-01-14
891,Poor,2,80,42,236,189,1999-02-02
892,Poor,2,71,35,216,230,2000-05-16
893,Good,4,95,13,38,35,1961-08-02
894,Poor,2,58,25,75,164,1976-02-25
895,Excellent,5,70,15,121,50,1958-02-24
896,Fair,3,14,9,44,255,1965-10-17
897,Poor,2,43,15,181,98,1955-09-17
898,Fair,3,05,23,332,268,1968-09-13
899,Average,3,79,17,328,11,2006-06-30
900,Good,5,41,42,333,210,1963-03-30
901,Good,5,25,37,52,12,1968-06-16
902,Poor,2,54,10,322,5,1965-10-27
903,Poor,2,55,37,52,12,2005-11-30
904,Poor,2,32,45,320,121,1995-04-26
905,Good,5,40,13,137,224,1977-04-08
906,Poor,2,67,30,118,75,1968-06-03
907,Average,4,43,39,293,100,2005-03-09
908,Excellent,5,86,43,119,194,1955-09-13
909,Poor,2,59,38,85,122,1962-09-20
910,Good,4,76,43,50,281,1986-06-20
911,Good,4,94,28,73,76,2004-01-18
912,Good,5,46,28,196,131,1982-05-06
913,Poor,2,05,12,331,85,1969-04-26
914,Excellent,5,61,47,223,51,1985-02-02
915,Average,4,16,24,295,7,1980-10-12
916,Good,4,69,46,219,37,1983-03-23
917,Poor,2,83,7,33,129,1961-11-23
918,Good,4,61,10,17,235,1958-09-13
919,Average,4,10,22,226,248,1985-07-08
920,Good,5,15,19,181,98,1965-08-16
921,Good,4,68,46,232,186,1960-11-16
922,Good,4,75,19,28,63,1992-06-11
923,Poor,2,87,29,289,296,1975-01-10
924,Poor,2,36,19,28,63,1977-10-11
925,Average,3,81,34,324,133,1980-10-26
926,Poor,2,79,29,67,148,2006-06-05
927,Poor,2,23,42,63,23,1984-07-05
928,Fair,3,29,14,12,212,1955-02-11
929,Poor,2,57,13,22,159,2002-03-14
930,Good,4,96,38,19,313,1996-08-28
931,Poor,2,27,40,71,287,2002-11-23
932,Average,3,55,39,31,107,2002-03-13
933,Poor,2,51,34,48,142,1995-11-01
934,Fair,3,32,10,77,175,1980-09-19
935,Excellent,6,00,36,281,156,2005-03-21
936,Excellent,5,91,14,86,66,1955-01-28
937,Average,4,11,11,120,290,1997-03-08
938,Good,4,93,16,120,290,1955-12-22
939,Average,4,45,20,112,269,1985-11-25
940,Good,4,91,40,34,284,1979-05-19
941,Average,3,69,13,59,166,1992-04-02
942,Poor,2,36,45,283,319,2003-03-01
943,Fair,3,41,46,219,37,1968-03-03
944,Average,3,60,39,31,107,2002-08-12
945,Average,4,10,33,116,61,2005-12-27
946,Fair,3,35,27,26,132,1969-09-30
947,Poor,2,65,39,165,247,1984-01-21
948,Good,5,34,40,170,4,1984-06-30
949,Average,4,43,39,293,100,2003-05-16
950,Fair,3,01,21,271,271,1982-12-04
951,Poor,2,31,18,195,8,1956-11-25
952,Average,3,82,41,214,176,2005-01-04
953,Good,4,95,46,219,37,1991-03-09
954,Good,4,64,8,304,329,1993-11-14
955,Poor,2,73,23,39,289,1955-05-15
956,Poor,2,50,23,8,104,1984-01-06
957,Excellent,5,68,29,204,158,1998-10-17
958,Poor,2,19,34,32,106,1981-02-19
959,Good,4,52,16,315,275,1967-07-02
960,Good,4,61,28,282,135,1978-11-04
961,Poor,2,43,17,287,302,1991-11-30
962,Fair,3,14,27,26,132,2003-01-27
963,Good,5,29,43,302,274,1961-07-02
964,Average,3,63,13,182,73,1974-01-22
965,Average,4,48,35,144,108,1991-07-28
966,Fair,3,38,10,1,62,1954-11-08
967,Good,4,95,45,143,244,1994-07-05
968,Good,4,74,34,18,163,1996-08-07
969,Excellent,5,62,35,62,20,1987-11-15
970,Average,4,26,20,139,273,1978-09-15
971,Poor,2,57,19,277,177,1994-01-15
972,Average,3,91,9,10,157,1958-12-04
973,Poor,2,16,40,71,287,1980-10-19
974,Good,5,20,9,44,255,1959-02-20
975,Fair,3,45,15,256,305,1981-05-16
976,Average,4,31,28,282,135,1965-09-17
977,Fair,3,34,18,303,179,1977-04-10
978,Good,5,27,23,8,104,1980-05-31
979,Average,4,26,33,134,138,1979-10-15
980,Poor,2,45,21,65,110,1964-01-28
981,Poor,2,13,34,261,93,1975-05-16
982,Poor,2,90,37,300,218,1953-01-05
983,Good,4,86,38,197,216,1959-09-29
984,Excellent,5,57,11,111,53,1972-04-10
985,Good,4,65,47,278,141,1992-10-04
986,Average,4,46,37,175,92,2005-11-19
987,Good,4,61,19,190,105,1964-01-05
988,Average,3,87,16,315,275,1954-12-19
989,Poor,2,58,9,234,123,1978-05-09
990,Excellent,5,50,9,294,146,1974-03-17
991,Poor,2,23,41,150,172,1964-04-13
992,Average,3,92,40,18,163,1969-01-18
993,Poor,2,40,13,182,73,1996-06-21
994,Excellent,5,84,17,130,187,1960-01-22
995,Average,4,48,26,30,65,1995-06-19
996,Poor,2,55,38,85,122,1997-03-06
997,Fair,3,08,29,204,158,1994-08-31
998,Excellent,5,78,46,152,16,2002-02-10
999,Good,5,12,43,284,260,1964-01-17
1000,Poor,2,72,22,211,195,2004-02-20
1001,Average,4,40,13,137,224,1983-03-28
1002,Average,3,91,7,108,169,1995-06-15
1003,Excellent,5,73,41,61,196,2004-08-16
1004,Poor,2,16,17,84,96,1977-09-01
1005,Poor,2,43,36,228,330,1996-11-19
1006,Average,4,41,37,330,291,2005-12-22
1007,Average,3,65,7,96,240,1977-03-18
1008,Excellent,5,76,18,29,264,1985-01-17
1009,Fair,3,19,30,135,21,1965-07-01
1010,Average,4,42,38,267,257,1997-08-27
1011,Good,5,17,33,247,113,1959-09-28
1012,Poor,2,40,39,150,172,1971-05-20
1013,Average,3,93,18,266,48,1954-05-08
1014,Average,4,06,28,68,43,1956-06-05
1015,Average,4,47,45,79,226,1956-06-21
1016,Excellent,5,53,21,90,253,1991-11-25
1017,Average,4,28,46,241,211,1996-05-01
1018,Excellent,5,72,28,35,318,1997-03-23
1019,Good,4,99,40,210,29,1989-04-19
1020,Poor,2,02,44,91,297,1993-09-08
1021,Good,4,78,28,282,135,1998-11-04
1022,Fair,3,08,40,71,287,1992-07-18
1023,Average,4,15,10,17,235,1971-04-02
1024,Poor,2,11,32,57,283,1966-09-01
1025,Average,4,03,41,297,84,1967-06-04
1026,Good,4,66,17,287,302,1977-12-28
1027,Average,3,50,9,264,137,1970-06-15
1028,Poor,2,32,21,227,227,1973-09-28
1029,Poor,2,72,30,148,88,1971-09-04
1030,Poor,2,90,20,254,25,1992-03-11
1031,Fair,3,22,20,112,269,1979-01-17
1032,Average,3,56,20,76,245,1983-03-01
1033,Poor,2,14,7,33,129,1969-05-15
1034,Average,3,54,10,56,300,1983-08-26
1035,Average,4,06,26,255,74,1988-11-01
1036,Average,4,23,46,219,37,1987-12-01
1037,Fair,3,17,22,186,90,1956-05-22
1038,Good,4,70,10,322,5,1990-01-28
1039,Good,5,14,36,198,241,1983-05-23
1040,Poor,2,24,10,17,235,1994-10-14
1041,Poor,2,80,25,2,111,1981-09-03
1042,Good,4,85,43,284,260,1986-12-18
1043,Poor,2,68,42,199,71,1997-06-19
1044,Average,4,16,39,150,172,1988-09-11
1045,Poor,2,33,37,74,14,1967-06-20
1046,Excellent,5,83,13,38,35,2000-11-25
1047,Excellent,5,99,45,141,190,1967-09-13
1048,Average,4,35,41,61,196,1993-01-16
1049,Fair,3,37,23,332,268,1956-08-03
1050,Good,4,95,24,106,267,1956-07-26
1051,Average,4,27,31,78,72,1953-11-06
1052,Fair,3,36,9,294,146,2005-06-10
1053,Poor,2,78,35,147,199,1965-10-24
1054,Good,5,10,46,232,186,1978-05-10
1055,Average,3,95,37,300,218,1958-04-19
1056,Fair,3,32,8,215,200,1998-09-09
1057,Excellent,5,76,40,34,284,1977-03-16
1058,Excellent,5,61,8,136,193,1990-12-16
1059,Average,4,14,14,12,212,1963-03-31
1060,Average,3,77,35,216,230,1971-11-23
1061,Poor,2,91,26,259,77,1988-07-10
1062,Fair,3,33,38,19,313,1956-06-21
1063,Good,5,04,17,130,187,1966-05-17
1064,Poor,2,28,45,320,121,1981-04-21
1065,Fair,3,20,19,28,63,1971-08-11
1066,Average,3,60,25,309,49,1984-07-30
1067,Poor,2,25,40,71,287,1955-01-05
1068,Poor,2,39,35,212,203,1978-09-12
1069,Poor,2,00,46,201,24,1975-08-04
1070,Poor,2,24,29,289,296,1976-07-21
1071,Average,4,36,15,191,213,1988-07-05
1072,Excellent,5,59,18,4,180,1959-04-05
1073,Poor,2,58,30,118,75,1966-11-01
1074,Good,4,75,10,322,5,2002-07-07
1075,Good,5,23,15,224,252,1965-01-05
1076,Excellent,5,93,26,30,65,1964-11-17
1077,Poor,2,40,12,108,169,2003-01-29
1078,Excellent,6,00,32,69,320,1990-07-21
1079,Excellent,5,79,42,205,153,2007-03-14
1080,Average,4,20,41,250,47,1974-07-10
1081,Good,4,67,23,225,27,1963-04-18
1082,Good,5,15,29,319,118,1985-05-29
1083,Good,4,96,32,97,42,1970-02-26
1084,Average,3,77,25,21,116,1968-02-09
1085,Good,4,64,16,53,278,1991-05-07
1086,Excellent,5,87,8,124,81,1981-08-09
1087,Poor,2,77,33,116,61,1970-05-08
1088,Fair,3,05,17,130,187,1999-01-05
1089,Excellent,5,59,27,276,41,1978-05-10
1090,Poor,2,73,18,168,314,1998-02-23
1091,Average,4,47,37,175,92,1963-09-18
1092,Average,3,56,30,148,88,1973-06-06
1093,Poor,2,55,23,265,91,1979-10-31
1094,Fair,3,36,28,282,135,1964-06-30
1095,Good,5,33,39,31,107,1959-04-07
1096,Good,5,47,47,206,324,1978-03-16
1097,Excellent,5,81,45,220,272,1973-08-04
1098,Poor,2,39,15,166,139,1969-03-01
1099,Poor,2,96,46,152,16,1970-02-01
1100,Good,4,73,30,154,97,1990-11-21
1101,Excellent,5,58,47,54,127,1998-11-22
1102,Excellent,5,60,21,249,249,1996-12-31
1103,Average,4,34,35,194,205,1970-06-15
1104,Fair,3,13,15,166,139,1988-01-13
1105,Poor,2,58,25,88,178,1976-01-22
1106,Good,4,68,20,139,273,2002-08-03
1107,Poor,2,77,26,30,65,1991-08-11
1108,Average,4,04,29,288,167,1971-04-20
1109,Excellent,5,87,33,164,101,1966-05-06
1110,Average,4,02,14,14,310,2001-06-01
1111,Poor,2,92,19,277,177,2003-08-11
1112,Excellent,5,77,28,296,192,1994-08-26
1113,Excellent,5,83,20,139,273,1991-10-05
1114,Excellent,5,95,29,238,265,1996-09-20
1115,Good,5,10,15,181,98,1961-08-08
1116,Average,3,76,34,15,160,1956-02-12
1117,Average,4,37,44,176,204,1994-04-25
1118,Fair,3,26,9,294,146,2006-04-08
1119,Average,3,64,34,314,130,1997-12-16
1120,Fair,3,33,37,52,12,1998-01-02
1121,Poor,2,82,10,233,332,1967-03-25
1122,Good,5,21,21,227,227,1963-12-31
1123,Poor,2,80,16,113,286,1953-05-06
1124,Good,5,27,9,294,146,1985-06-11
1125,Average,3,78,46,177,270,1965-11-04
1126,Poor,2,80,22,37,36,1968-01-30
1127,Good,5,04,26,326,229,1987-06-05
1128,Good,5,22,46,201,24,1955-05-04
1129,Good,5,42,32,69,320,1996-04-01
1130,Excellent,5,76,31,126,82,1994-10-22
1131,Poor,2,11,30,154,97,1999-04-16
1132,Poor,2,00,37,74,14,1986-12-01
1133,Good,5,03,43,98,308,1973-06-20
1134,Fair,3,05,29,288,167,1969-04-24
1135,Good,4,63,32,66,293,1983-08-19
1136,Good,5,08,45,283,319,1974-04-17
1137,Poor,2,81,42,321,18,1967-12-16
1138,Average,3,83,10,56,300,1990-02-14
1139,Fair,3,19,24,239,262,2000-01-19
1140,Excellent,5,97,7,185,279,1996-10-03
1141,Good,5,09,16,242,83,1997-12-30
1142,Good,4,74,31,78,72,2007-01-19
1143,Fair,3,19,34,15,160,1985-09-02
1144,Average,3,56,25,88,178,1984-12-08
1145,Excellent,5,82,22,186,90,2002-07-15
1146,Good,4,70,40,189,6,1977-01-22
1147,Average,3,73,27,213,312,1989-09-02
1148,Poor,2,61,15,311,317,1991-02-09
1149,Average,4,27,44,172,150,1955-11-24
1150,Average,3,57,7,33,129,1956-02-25
1151,Fair,3,10,8,100,31,1991-11-21
1152,Good,4,55,7,96,240,1975-04-28
1153,Good,4,76,27,221,323,1979-03-17
1154,Excellent,5,64,34,179,331,1980-01-30
1155,Average,3,91,11,243,276,1976-08-29
1156,Poor,2,37,34,180,26,1987-11-23
1157,Good,4,80,41,297,84,1996-08-28
1158,Good,5,08,32,117,89,1993-01-03
1159,Good,5,36,26,30,65,1975-03-11
1160,Excellent,5,79,16,245,168,1960-12-23
1161,Excellent,5,64,12,80,117,1968-03-01
1162,Average,3,55,46,232,186,1989-04-09
1163,Good,4,62,44,162,149,1983-01-18
1164,Poor,2,10,38,197,216,1979-07-15
1165,Average,3,91,32,69,320,1955-02-17
1166,Poor,2,92,8,215,200,1969-09-11
1167,Poor,2,74,26,326,229,1974-03-09
1168,Good,4,77,25,2,111,1975-06-13
1169,Fair,3,31,8,215,200,1966-02-03
1170,Poor,2,02,16,315,275,1995-04-24
1171,Poor,2,94,12,45,109,1996-02-28
1172,Poor,2,54,43,302,274,1957-03-12
1173,Poor,2,07,9,44,255,1959-03-22
1174,Average,3,68,46,232,186,1954-03-15
1175,Average,4,24,28,73,76,1953-01-04
1176,Average,4,08,45,207,243,1968-03-05
1177,Average,4,01,38,306,309,1986-04-30
1178,Good,5,24,46,177,270,1976-05-29
1179,Good,5,46,47,54,127,1990-11-28
1180,Good,5,08,35,147,199,1996-10-13
1181,Good,5,07,43,302,274,1986-05-30
1182,Average,4,42,10,56,300,2004-04-25
1183,Poor,2,95,42,333,210,2007-06-11
1184,Average,3,84,45,220,272,1993-02-06
1185,Good,4,66,46,219,37,1955-12-03
1186,Average,3,57,13,157,231,1976-12-19
1187,Fair,3,24,33,134,138,1960-09-17
1188,Good,5,40,37,300,218,2001-05-21
1189,Good,5,15,7,11,38,2000-08-25
1190,Average,4,26,29,272,282,2003-09-26
1191,Poor,2,28,46,258,9,1985-08-19
1192,Average,3,74,12,80,117,1982-12-12
1193,Average,4,48,39,165,247,1967-12-08
1194,Fair,3,40,18,6,261,1992-01-28
1195,Poor,2,32,13,182,73,1981-08-05
1196,Average,3,53,30,118,75,1961-09-22
1197,Poor,2,12,43,105,151,1977-01-02
1198,Fair,3,08,15,121,50,1959-02-19
1199,Excellent,5,66,18,195,8,1982-10-22
1200,Good,4,90,30,318,57,1985-11-04
1201,Average,3,96,28,196,131,1955-11-16
1202,Good,4,97,14,14,310,1967-03-23
1203,Good,5,30,37,184,171,1978-01-07
1204,Average,4,25,26,326,229,1968-08-02
1205,Poor,2,62,13,123,191,1967-12-28
1206,Poor,2,55,10,1,62,1987-09-12
1207,Average,4,47,11,145,143,1969-02-07
1208,Fair,3,08,29,149,154,1978-01-02
1209,Fair,3,39,38,19,313,1980-01-26
1210,Excellent,5,83,44,251,214,1961-06-27
1211,Average,4,36,15,191,213,1954-07-27
1212,Excellent,5,56,35,194,205,1973-04-02
1213,Excellent,5,63,18,303,179,1955-02-07
1214,Poor,2,27,9,156,259,1986-05-28
1215,Poor,2,72,25,75,164,1982-07-26
1216,Fair,3,22,34,15,160,1971-11-06
1217,Poor,2,60,44,251,214,1989-10-30
1218,Poor,2,77,38,288,167,1997-12-11
1219,Fair,3,45,37,330,291,1976-08-13
1220,Poor,2,33,38,94,209,1986-02-28
1221,Excellent,5,68,29,149,154,1961-12-25
1222,Fair,3,34,14,240,144,1980-10-18
1223,Excellent,5,63,34,48,142,1982-10-19
